cow_id,animal_name,sire,parity,lactation_length_d,peak_day,peak_milk_kg,dry_period_d,milk_yield_kg
806127,NOVIA,L.Jet Bowser-ET,1,292.0,76.0,39.3,44.0,8182.5
804832,Lita,L.Jet Bowser XA,1,292.0,55.0,33.8,56.0,8003.2
805895,Laura,AK 47,1,292.0,95.0,29.6,52.0,6207.6
805353,Adelia,AK 47,1,292.0,134.0,28.2,58.0,6101.0
806046,Wisco,AK 47,1,292.0,87.0,21.8,55.0,4819.2
806228,EPSON,AK 47,1,292.0,52.0,31.1,54.0,7488.3
806176,Hand,AK 47,1,292.0,149.0,27.5,45.0,5775.0
805465,GERY,Ziggy VS Whisky,1,292.0,110.0,27.3,50.0,5683.2
806544,NOVIA,AK 47,1,292.0,119.0,27.4,42.0,6484.6
804742,Alana,Coyne PlanetET,1,292.0,55.0,32.4,48.0,7470.0
804960,B-yonce,C. Dv. Creeton,1,292.0,77.0,34.9,49.0,8161.5
805722,Boss-462,Ziggy VS Whisky,1,292.0,86.0,32.8,49.0,6950.8
804874,Inis,Coyne PlanetET,1,292.0,49.0,36.7,49.0,7655.9
805702,PUTRI,L.Jet Bowser-ET,1,292.0,106.0,45.5,41.0,9569.5
804059,Zelg-379,Brasilia,1,292.0,66.0,33.0,37.0,7476.0
805437,Hansa,AK 47,1,293.0,112.0,32.4,45.0,7112.3
805696,SPRINGS,Ziggy VS Whisky,1,293.0,68.0,27.8,48.0,5950.9
805600,PELANGI,MR MUDD -  XA,1,293.0,94.0,33.0,54.0,5988.7
805235,DOBE-320,Jenny S.TrumpET,1,293.0,124.0,32.3,47.0,7438.4
805351,Kalini,MR MUDD -  XA,1,293.0,119.0,36.0,53.0,8307.8
804486,SEBE,M.Z.Merlin.-XA,1,293.0,57.0,30.4,50.0,6819.0
805244,SMIT-340,AK 47,1,293.0,91.0,33.1,50.0,7433.5
806058,Asta,Horst MONTNEY,1,293.0,76.0,35.8,48.0,7266.4
805457,GHANA,MR MUDD -  XA,1,293.0,144.0,33.2,45.0,7010.9
805914,FEVE-233,Jenny S.TrumpXA,1,293.0,85.0,33.9,43.0,6373.2
806096,Rika,Horst MONTNEY,1,293.0,111.0,32.9,42.0,6509.6
806403,Binggo,L. Muscadet XA,1,293.0,142.0,31.0,64.0,6867.8
803897,Selena,W.EpicIcebergET,1,293.0,58.0,32.5,48.0,6543.5
806630,Yuana,WestCoast Pldge,1,293.0,73.0,27.0,52.0,7492.3
804036,Just013,Brasilia,1,293.0,87.0,30.8,50.0,7686.5
804260,Farm185,Holstein Bull,1,293.0,132.0,30.5,55.0,6763.0
806450,MARGOI,RJR.SpidermanET,1,293.0,97.0,37.6,49.0,8439.8
806617,TATU,L. Muscadet XA,1,293.0,135.0,39.4,46.0,8833.1
805647,Tibra,MR MUDD -  XA,1,293.0,36.0,40.0,37.0,8255.5
804364,Bebeb,L.Jet Bowser XA,1,293.0,82.0,35.5,47.0,7216.5
803925,Alana,W.EpicIcebergET,1,293.0,38.0,26.0,51.0,6417.5
805067,Boss-574,AK 47,1,293.0,64.0,27.6,44.0,6529.1
806763,Ash-069,WestCoast Pldge,1,293.0,149.0,31.4,49.0,7929.5
805065,Tuoli,Coyne PlanetET,1,293.0,91.0,33.6,46.0,7380.2
804290,MEGGI,M.Z.Merlin.-XA,1,293.0,119.0,32.6,51.0,7457.0
805074,ORIGI,Coyne PlanetET,1,293.0,145.0,26.1,48.0,5901.6
805004,Lupita,AK 47,1,293.0,62.0,31.0,52.0,6962.8
806008,Vista,Horst MONTNEY,1,293.0,91.0,35.4,51.0,6850.8
804305,Jiaya,C. Dv. Creeton,1,293.0,45.0,31.6,46.0,7174.0
805047,Neptu,L.Jet Bowser-ET,1,293.0,64.0,25.6,48.0,5572.4
805183,SALLY,AK 47,1,293.0,113.0,33.0,49.0,7369.8
803704,Putri,O.S.Elmer-XA,1,293.0,68.0,40.0,44.0,8998.0
804366,Donita,Longlife,1,293.0,57.0,32.1,73.0,6460.0
804523,Top One,K-M.EpicSave-ET,1,293.0,32.0,34.2,52.0,6950.0
804067,IRTAN,K. Big Time,1,293.0,74.0,30.0,49.0,7483.0
803545,Marie,Klr. SuperMario,1,293.0,53.0,28.6,47.0,6893.0
805421,Nikita,Coyne PlanetET,1,293.0,94.0,31.6,47.0,6195.7
805508,VIA,MR MUDD -  XA,1,294.0,136.0,29.5,48.0,6711.5
805416,Audy,MR MUDD -  XA,1,294.0,86.0,25.6,49.0,5570.9
805275,FOC-562,AK 47,1,294.0,106.0,32.2,44.0,7095.8
805241,Jeni-li,Coyne PlanetET,1,294.0,45.0,28.2,49.0,6235.9
804476,Cira,Jenny S.TrumpET,1,294.0,91.0,33.4,50.0,8337.0
806551,Capri,AK 47,1,294.0,107.0,32.4,52.0,7611.0
806624,Bever,WestCoast Pldge,1,294.0,143.0,33.7,48.0,8489.3
805874,ISHIKA,Horst MONTNEY,1,294.0,96.0,28.0,50.0,5831.3
806349,Tahira,W.D.Bandaras ET,1,294.0,79.0,30.3,43.0,6825.4
805064,Geno252,Jenny S.TrumpET,1,294.0,62.0,30.4,57.0,6814.6
804971,Zelan,Coyne PlanetET,1,294.0,91.0,30.6,54.0,6336.2
805269,FRISKI,AK 47,1,294.0,68.0,37.1,49.0,8330.6
805860,Alcira,AK 47,1,294.0,129.0,38.6,46.0,7163.3
805858,Memey,Horst MONTNEY,1,294.0,97.0,28.1,51.0,5410.7
806794,Padma,WessC Glover XA,1,294.0,144.0,28.3,38.0,6893.4
804905,Piyani,Coyne PlanetET,1,294.0,63.0,28.5,46.0,6042.2
805961,Abs-161,L.Jet Bowser-ET,1,294.0,58.0,24.9,45.0,5735.7
806274,HELLEN,Ziggy VS Whisky,1,294.0,90.0,34.8,46.0,8540.6
806134,Tabia,Horst MONTNEY,1,294.0,107.0,29.3,44.0,6751.5
804034,Micah,S. Micah XA,1,294.0,107.0,27.0,53.0,6445.0
804838,PRETY,Jenny S.TrumpET,1,294.0,88.0,38.2,50.0,9248.7
803826,Rafika,Bull Mix,1,294.0,100.0,24.8,51.0,5736.0
806366,Ophie,L. Muscadet XA,1,294.0,86.0,31.6,24.0,7326.5
805926,Zenar,AK 47,1,294.0,51.0,35.7,46.0,5941.2
805174,TABIA,Coyne PlanetET,1,294.0,93.0,29.5,52.0,6541.7
806303,Elona,AK 47,1,294.0,42.0,41.3,49.0,7924.0
804992,JERA,L.Jet Bowser XA,1,294.0,87.0,32.9,42.0,7461.8
803780,Star,L.S Titanic,1,294.0,48.0,33.4,44.0,7784.0
805126,DISU,Jenny S.TrumpXA,1,294.0,134.0,32.9,44.0,7586.6
803864,Sozis,Bull Mix,1,294.0,125.0,32.7,51.0,7868.0
803661,Izzah,L.Jet Bowser XA,1,294.0,64.0,35.8,54.0,8158.0
805352,Akira,L.Jet Bowser-ET,1,294.0,118.0,32.1,43.0,6689.3
804931,Aline,Coyne PlanetET,1,294.0,140.0,24.4,55.0,5257.8
804943,Arumi,L.Jet Bowser-ET,1,294.0,81.0,32.2,47.0,7230.3
803361,Marbel,U.M Aberlin -ET,1,294.0,55.0,33.1,49.0,7455.0
805767,LANI,AK 47,1,295.0,100.0,33.6,38.0,7519.4
805581,Cheste,Coyne PlanetET,1,295.0,63.0,27.8,54.0,5845.6
805294,Falco,AK 47,1,295.0,99.0,26.8,46.0,5569.4
805265,ESCUD,MR MUDD -  XA,1,295.0,87.0,31.5,51.0,7479.3
805228,Haley,AK 47,1,295.0,65.0,27.3,46.0,6375.1
805743,Force,L.Jet Bowser-ET,1,295.0,99.0,30.9,43.0,6630.3
805081,Pore,MR MUDD -  XA,1,295.0,59.0,32.3,46.0,7787.4
805864,GISHEL,Horst MONTNEY,1,295.0,61.0,43.1,42.0,6859.8
805552,Chase,MR MUDD -  XA,1,295.0,61.0,30.2,44.0,6519.6
